frame,time,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,collision,min_distance,collision_info
0,0.0000,0.00,-90.00,30.00,0.00,-60.00,0.00,0,0.6792,""
1,0.0169,0.76,-89.24,31.02,0.76,-59.75,0.76,0,0.6771,""
2,0.0339,1.53,-88.47,32.03,1.53,-59.49,1.53,0,0.6750,""
3,0.0508,2.29,-87.71,33.05,2.29,-59.24,2.29,0,0.6730,""
4,0.0678,3.05,-86.95,34.07,3.05,-58.98,3.05,0,0.6709,""
5,0.0847,3.81,-86.19,35.08,3.81,-58.73,3.81,0,0.6688,""
6,0.1017,4.58,-85.42,36.10,4.58,-58.47,4.58,0,0.6668,""
7,0.1186,5.34,-84.66,37.12,5.34,-58.22,5.34,0,0.6647,""
8,0.1356,6.10,-83.90,38.14,6.10,-57.97,6.10,0,0.6626,""
9,0.1525,6.86,-83.14,39.15,6.86,-57.71,6.86,0,0.6606,""
10,0.1695,7.63,-82.37,40.17,7.63,-57.46,7.63,0,0.6585,""
11,0.1864,8.39,-81.61,41.19,8.39,-57.20,8.39,0,0.6565,""
12,0.2034,9.15,-80.85,42.20,9.15,-56.95,9.15,0,0.6544,""
13,0.2203,9.92,-80.08,43.22,9.92,-56.69,9.92,0,0.6524,""
14,0.2373,10.68,-79.32,44.24,10.68,-56.44,10.68,0,0.6504,""
15,0.2542,11.44,-78.56,45.25,11.44,-56.19,11.44,0,0.6483,""
16,0.2712,12.20,-77.80,46.27,12.20,-55.93,12.20,0,0.6463,""
17,0.2881,12.97,-77.03,47.29,12.97,-55.68,12.97,0,0.6443,""
18,0.3051,13.73,-76.27,48.31,13.73,-55.42,13.73,0,0.6423,""
19,0.3220,14.49,-75.51,49.32,14.49,-55.17,14.49,0,0.6403,""
20,0.3390,15.25,-74.75,50.34,15.25,-54.92,15.25,0,0.6383,""
21,0.3559,16.02,-73.98,51.36,16.02,-54.66,16.02,0,0.6363,""
22,0.3729,16.78,-73.22,52.37,16.78,-54.41,16.78,0,0.6343,""
23,0.3898,17.54,-72.46,53.39,17.54,-54.15,17.54,0,0.6324,""
24,0.4068,18.31,-71.69,54.41,18.31,-53.90,18.31,0,0.6304,""
25,0.4237,19.07,-70.93,55.42,19.07,-53.64,19.07,0,0.6284,""
26,0.4407,19.83,-70.17,56.44,19.83,-53.39,19.83,0,0.6265,""
27,0.4576,20.59,-69.41,57.46,20.59,-53.14,20.59,0,0.6246,""
28,0.4746,21.36,-68.64,58.47,21.36,-52.88,21.36,0,0.6226,""
29,0.4915,22.12,-67.88,59.49,22.12,-52.63,22.12,0,0.6207,""
30,0.5085,22.88,-67.12,60.51,22.88,-52.37,22.88,0,0.6188,""
31,0.5254,23.64,-66.36,61.53,23.64,-52.12,23.64,0,0.6169,""
32,0.5424,24.41,-65.59,62.54,24.41,-51.86,24.41,0,0.6151,""
33,0.5593,25.17,-64.83,63.56,25.17,-51.61,25.17,0,0.6132,""
34,0.5763,25.93,-64.07,64.58,25.93,-51.36,25.93,0,0.6114,""
35,0.5932,26.69,-63.31,65.59,26.69,-51.10,26.69,0,0.6095,""
36,0.6102,27.46,-62.54,66.61,27.46,-50.85,27.46,0,0.6077,""
37,0.6271,28.22,-61.78,67.63,28.22,-50.59,28.22,0,0.6059,""
38,0.6441,28.98,-61.02,68.64,28.98,-50.34,28.98,0,0.6041,""
39,0.6610,29.75,-60.25,69.66,29.75,-50.08,29.75,0,0.6023,""
40,0.6780,30.51,-59.49,70.68,30.51,-49.83,30.51,0,0.6005,""
41,0.6949,31.27,-58.73,71.69,31.27,-49.58,31.27,0,0.5988,""
42,0.7119,32.03,-57.97,72.71,32.03,-49.32,32.03,0,0.5970,""
43,0.7288,32.80,-57.20,73.73,32.80,-49.07,32.80,0,0.5953,""
44,0.7458,33.56,-56.44,74.75,33.56,-48.81,33.56,0,0.5936,""
45,0.7627,34.32,-55.68,75.76,34.32,-48.56,34.32,0,0.5919,""
46,0.7797,35.08,-54.92,76.78,35.08,-48.31,35.08,0,0.5902,""
47,0.7966,35.85,-54.15,77.80,35.85,-48.05,35.85,0,0.5886,""
48,0.8136,36.61,-53.39,78.81,36.61,-47.80,36.61,0,0.5869,""
49,0.8305,37.37,-52.63,79.83,37.37,-47.54,37.37,0,0.5853,""
50,0.8475,38.14,-51.86,80.85,38.14,-47.29,38.14,0,0.5837,""
51,0.8644,38.90,-51.10,81.86,38.90,-47.03,38.90,0,0.5821,""
52,0.8814,39.66,-50.34,82.88,39.66,-46.78,39.66,0,0.5806,""
53,0.8983,40.42,-49.58,83.90,40.42,-46.53,40.42,0,0.5788,""
54,0.9153,41.19,-48.81,84.92,41.19,-46.27,41.19,0,0.5769,""
55,0.9322,41.95,-48.05,85.93,41.95,-46.02,41.95,0,0.5748,""
56,0.9492,42.71,-47.29,86.95,42.71,-45.76,42.71,0,0.5725,""
57,0.9661,43.47,-46.53,87.97,43.47,-45.51,43.47,0,0.5700,""
58,0.9831,44.24,-45.76,88.98,44.24,-45.25,44.24,0,0.5673,""
59,1.0000,45.00,-45.00,90.00,45.00,-45.00,45.00,0,0.5644,""
