# Huayan Robotics HR_S50-2000 Point-to-Point Trajectory
# Generated: 2026-02-01
# Contact: yuesj@huayan-robotics.com
# Website: https://www.huayan-robotics.com
#
# Start (deg): 0.00, -90.00, 90.00, 0.00, -90.00, 0.00
# Goal (deg): 45.00, -60.00, 60.00, 30.00, -60.00, 45.00
# Total time: 25.46 s
# Sample rate: 250.00 Hz
# Points: 6366
#
# Units: time(s), position(deg), velocity(deg/s), acceleration(deg/s^2)
#
time,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_acc,j2_acc,j3_acc,j4_acc,j5_acc,j6_acc
0.000000,0.0000,-90.0000,90.0000,0.0000,-90.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000
0.004000,0.0000,-90.0000,90.0000,0.0000,-90.0000,0.0000,0.0095,0.0063,-0.0063,0.0063,0.0063,0.0095,4.7026,3.1351,-3.1351,3.1351,3.1351,4.7026
0.008000,0.0001,-89.9999,89.9999,0.0001,-89.9999,0.0001,0.0373,0.0248,-0.0248,0.0248,0.0248,0.0373,9.1353,6.0902,-6.0902,6.0902,6.0902,9.1353
0.012000,0.0003,-89.9998,89.9998,0.0002,-89.9998,0.0003,0.0822,0.0548,-0.0548,0.0548,0.0548,0.0822,13.3034,8.8690,-8.8690,8.8690,8.8690,13.3034
0.016000,0.0008,-89.9995,89.9995,0.0005,-89.9995,0.0008,0.1433,0.0956,-0.0956,0.0956,0.0956,0.1433,17.2121,11.4747,-11.4747,11.4747,11.4747,17.2121
0.020000,0.0015,-89.9990,89.9990,0.0010,-89.9990,0.0015,0.2196,0.1464,-0.1464,0.1464,0.1464,0.2196,20.8665,13.9110,-13.9110,13.9110,13.9110,20.8665
0.024000,0.0026,-89.9983,89.9983,0.0017,-89.9983,0.0026,0.3099,0.2066,-0.2066,0.2066,0.2066,0.3099,24.2719,16.1812,-16.1812,16.1812,16.1812,24.2719
0.028000,0.0040,-89.9973,89.9973,0.0027,-89.9973,0.0040,0.4134,0.2756,-0.2756,0.2756,0.2756,0.4134,27.4335,18.2890,-18.2890,18.2890,18.2890,27.4335
0.032000,0.0059,-89.9961,89.9961,0.0039,-89.9961,0.0059,0.5291,0.3527,-0.3527,0.3527,0.3527,0.5291,30.3564,20.2376,-20.2376,20.2376,20.2376,30.3564
0.036000,0.0082,-89.9945,89.9945,0.0055,-89.9945,0.0082,0.6560,0.4373,-0.4373,0.4373,0.4373,0.6560,33.0460,22.0307,-22.0307,22.0307,22.0307,33.0460
