task,segment,step,time_s,q1,q2,q3,q4,q5,q6,selfDist_mm,selfCollision,envCollision,tcpX_mm,tcpY_mm,tcpZ_mm
1,0,0,0.0000,147.614,-60.145,87.028,6.908,-37.351,-28.012,639.80,0,0,1150.0,-300.0,565.0
1,0,10,0.0401,147.614,-60.143,87.028,6.906,-37.351,-28.012,639.80,0,0,1150.0,-300.0,565.0
1,0,20,0.0802,147.614,-60.134,87.032,6.893,-37.351,-28.012,639.83,0,0,1150.0,-300.0,564.7
1,0,30,0.1202,147.614,-60.109,87.041,6.859,-37.351,-28.012,639.91,0,0,1150.1,-300.1,564.0
1,0,40,0.1603,147.614,-60.063,87.059,6.795,-37.351,-28.012,640.05,0,0,1150.2,-300.1,562.7
1,0,50,0.2004,147.614,-59.992,87.087,6.696,-37.351,-28.012,640.27,0,0,1150.4,-300.3,560.7
1,0,60,0.2405,147.614,-59.890,87.126,6.556,-37.351,-28.012,640.57,0,0,1150.7,-300.4,557.8
1,0,70,0.2806,147.614,-59.757,87.177,6.370,-37.351,-28.012,640.98,0,0,1151.1,-300.7,554.1
1,0,80,0.3206,147.614,-59.589,87.242,6.138,-37.351,-28.012,641.50,0,0,1151.5,-300.9,549.4
1,0,90,0.3607,147.614,-59.385,87.320,5.856,-37.351,-28.012,642.11,0,0,1152.0,-301.3,543.6
1,0,100,0.4008,147.614,-59.146,87.412,5.525,-37.351,-28.012,642.84,0,0,1152.5,-301.6,536.9
1,0,110,0.4409,147.614,-58.872,87.518,5.146,-37.351,-28.012,643.67,0,0,1153.2,-302.0,529.2
1,0,120,0.4810,147.614,-58.564,87.636,4.719,-37.351,-28.012,644.60,0,0,1153.8,-302.4,520.6
1,0,130,0.5210,147.614,-58.224,87.767,4.247,-37.351,-28.012,645.62,0,0,1154.4,-302.8,511.0
1,0,140,0.5611,147.614,-57.853,87.910,3.734,-37.351,-28.012,646.72,0,0,1155.1,-303.2,500.6
1,0,150,0.6012,147.614,-57.456,88.063,3.184,-37.351,-28.012,647.91,0,0,1155.7,-303.6,489.5
1,0,160,0.6413,147.614,-57.034,88.225,2.600,-37.351,-28.012,649.15,0,0,1156.2,-303.9,477.7
1,0,170,0.6814,147.614,-56.592,88.396,1.987,-37.351,-28.012,650.46,0,0,1156.7,-304.2,465.3
1,0,180,0.7214,147.614,-56.133,88.572,1.352,-37.351,-28.012,651.80,0,0,1157.0,-304.5,452.4
1,0,190,0.7615,147.614,-55.662,88.754,0.699,-37.351,-28.012,653.17,0,0,1157.3,-304.6,439.3
1,0,200,0.8016,147.614,-55.182,88.938,0.035,-37.351,-28.012,654.55,0,0,1157.5,-304.7,425.9
1,0,210,0.8417,147.614,-54.698,89.125,-0.635,-37.351,-28.012,655.94,0,0,1157.5,-304.8,412.4
1,0,220,0.8818,147.614,-54.215,89.311,-1.305,-37.351,-28.012,657.32,0,0,1157.4,-304.7,398.9
1,0,230,0.9218,147.614,-53.737,89.495,-1.967,-37.351,-28.012,658.67,0,0,1157.2,-304.6,385.7
1,0,240,0.9619,147.614,-53.267,89.676,-2.617,-37.351,-28.012,659.99,0,0,1156.9,-304.4,372.6
1,0,250,1.0020,147.614,-52.812,89.851,-3.249,-37.351,-28.012,661.27,0,0,1156.5,-304.1,360.0
1,0,260,1.0421,147.614,-52.373,90.020,-3.856,-37.351,-28.012,662.48,0,0,1156.0,-303.8,347.9
1,0,270,1.0822,147.614,-51.956,90.180,-4.433,-37.351,-28.012,663.63,0,0,1155.5,-303.5,336.4
1,0,280,1.1222,147.614,-51.564,90.332,-4.977,-37.351,-28.012,664.71,0,0,1154.9,-303.1,325.6
1,0,290,1.1623,147.614,-51.199,90.472,-5.482,-37.351,-28.012,665.70,0,0,1154.2,-302.7,315.6
1,0,300,1.2024,147.614,-50.865,90.601,-5.944,-37.351,-28.012,666.60,0,0,1153.6,-302.3,306.4
1,0,310,1.2425,147.614,-50.564,90.717,-6.362,-37.351,-28.012,667.42,0,0,1153.0,-301.9,298.1
